chrom	start	end	length
13	111843441	113673020	1829579
13	113723020	114354328	631308
14	16000000	16022537	22537
14	16022637	16053976	31339
14	16054459	16061677	7218
14	16061993	16086625	24632
14	16089562	16096530	6968
14	16096630	16105376	8746
14	16113232	16130858	17626
14	16133335	16140527	7192
14	16140627	16228649	88022
14	16228749	16282882	54133
14	16282982	16346517	63535
14	16346617	16367287	20670
14	16367387	16374057	6670
14	16374157	16377402	3245
14	16377502	16400063	22561
14	16400163	16404348	4185
14	16404448	17538659	1134211
14	17539639	17540837	1198
14	17540937	18173523	632586
14	18223523	18712644	489121
14	18862644	19511713	649069
14	19611713	106883718	87272005
15	17000000	17049135	49135
15	17049334	17076577	27243
15	17076597	17083573	6976
15	17083673	17498951	415278
15	17499051	18355008	855957
15	18355108	19725254	1370146
15	19775254	20689304	914050
15	20729746	21193490	463744
15	21242090	21778502	536412
15	21828502	22308242	479740
15	22358242	23226874	868632
15	23276874	84270066	60993192
15	84320066	101981189	17661123
16	10000	18436486	18426486
16	18486486	33214595	14728109
16	33264595	33392411	127816
16	33442411	34289329	846918
16	34339329	34521510	182181
16	34571510	34576805	5295
16	34580965	34584085	3120
16	34584622	36260386	1675764
16	36311158	36334460	23302
16	36334560	36337566	3006
16	36337666	38265669	1928003
16	38265769	38269096	3327
16	38275758	38280682	4924
16	46380682	90228345	43847663
17	60000	448188	388188
17	488987	490395	1408
17	491111	21795850	21304739
17	21814103	21860937	46834
17	21860957	21976511	115554
17	21976531	21983452	6921
17	21985100	21992061	6961
17	22042061	22089188	47127
17	22089410	22763679	674269
17	22813679	23194918	381239
17	23195018	26566633	3371615
17	26566733	26616164	49431
17	26616264	26627010	10746
17	26627349	26638554	11205
17	26638627	26640334	1707
17	26640620	26643468	2848
17	26643843	26698590	54747
17	26698998	26720420	21422
17	26721376	26735204	13828
17	26735774	26805755	69981
17	26805775	26820065	14290
17	26820266	26859724	39458
17	26860166	26876740	16574
17	26876850	26880254	3404
17	26880354	26885980	5626
17	26935980	81742542	54806562
17	81792542	81796281	3739
17	81799133	83247441	1448308
18	10000	15410899	15400899
18	15460899	15780377	319478
18	15780477	15788380	7903
18	15791047	15797755	6708
18	15797855	20561439	4763584
18	20561539	20564714	3175
18	20571466	20582635	11169
18	20582735	20603147	20412
18	20603247	20696289	93042
18	20696389	20736025	39636
18	20736125	20813083	76958
18	20813183	20830724	17541
18	20831341	20835547	4206
18	20835592	20839697	4105
18	20839797	20861206	21409
18	20911206	46969912	26058706
18	47019912	54536574	7516662
18	54537528	80263285	25725757
19	60000	24448980	24388980
19	24498980	24552652	53672
19	24552752	24891256	338504
19	24891356	24895790	4434
19	24895890	24898313	2423
19	24904771	24908589	3818
19	24908689	27190874	2282185
19	27240874	58607616	31366742
2	10000	16145119	16135119
2	16146119	89330679	73184560
2	89530679	89685992	155313
2	89753992	90402511	648519
2	91402511	92138145	735634
2	92188145	94090557	1902412
2	94140557	94293015	152458
2	94496015	97439618	2943603
2	97489618	238903659	141414041
2	238904047	242183529	3279482
20	60000	63215	3215
20	63840	66235	2395
20	66335	26348365	26282030
20	26348390	26364240	15850
20	26365414	26382164	16750
20	26382616	26386232	3616
20	26436232	26586955	150723
20	26587055	26590875	3820
20	26596363	26608045	11682
20	26608145	28494539	1886394
20	28494639	28499358	4719
20	28504764	28508897	4133
20	28508997	28556953	47956
20	28557053	28646195	89142
20	28646295	28648008	1713
20	28648108	28728874	80766
20	28728974	28751119	22145
20	28752590	28754750	2160
20	28754770	28757831	3061
20	28757851	28790010	32159
20	28790158	28820603	30445
20	28820663	28843401	22738
20	28859997	28861347	1350
20	28861367	28867524	6157
20	28868452	28875884	7432
20	28875904	28889198	13294
20	28889218	28890335	1117
20	28896362	29125693	229331
20	29125793	29204668	78875
20	29204768	29271546	66778
20	29271826	29307456	35630
20	29307476	29315342	7866
20	29315821	29362154	46333
20	29362183	29412507	50324
20	29413577	29447838	34261
20	29447883	29452158	4275
20	29452178	29538733	86555
20	29538783	29540234	1451
20	29540284	29556103	15819
20	29556141	29562970	6829
20	29563363	29564411	1048
20	29565353	29592644	27291
20	29592737	29651590	58853
20	29651610	29697363	45753
20	29697630	29884750	187120
20	29884850	29917304	32454
20	29917404	30038348	120944
20	30088348	30425128	336780
20	30456077	30761898	305821
20	30811898	31001508	189610
20	31051508	31107036	55528
20	31157036	31159119	2083
20	31161625	64334167	33172542
21	5010000	5166246	156246
21	5216246	5393558	177312
21	5443558	5449012	5454
21	5499012	5627596	128584
21	5677596	5796009	118413
21	5846009	5916593	70584
21	5966593	6161371	194778
21	6211371	6377258	165887
21	6427258	6580181	152923
21	6630181	6739085	108904
21	6789085	6934219	145134
21	6984219	7149527	165308
21	7199527	7327865	128338
21	7377865	7500890	123025
21	7550890	7693700	142810
21	7743700	7865746	122046
21	7915746	8049839	134093
21	8099839	8260971	161132
21	8310971	8472360	161389
21	8522360	8706715	184355
21	8756715	8886604	129889
21	8986604	9196087	209483
21	9246087	9377143	131056
21	9527143	10169868	642725
21	10269868	10274327	4459
21	10324327	10814560	490233
21	10864560	10887097	22537
21	10887197	10975219	88022
21	10975319	11029452	54133
21	11029552	11093087	63535
21	11093187	11113857	20670
21	11113957	11120627	6670
21	11120727	11123972	3245
21	11124072	11146633	22561
21	11146733	12280944	1134211
21	12281924	12283122	1198
21	12283222	12915808	632586
21	12965808	41584292	28618484
21	41584392	43212462	1628070
21	43262462	46699983	3437521
22	10510000	10784643	274643
22	10834643	10874572	39929
22	10924572	10966724	42152
22	11016724	11068987	52263
22	11118987	11160921	41934
22	11210921	11378056	167135
22	11428056	11497337	69281
22	11547337	11631288	83951
22	11681288	11724629	43341
22	11774629	11977555	202926
22	12027555	12225588	198033
22	12275588	12438690	163102
22	12488690	12641730	153040
22	12691730	12726204	34474
22	12776204	12818137	41933
22	12868137	12904788	36651
22	12954788	12977325	22537
22	12977425	12986171	8746
22	12994027	13011653	17626
22	13014130	13021322	7192
22	13021422	13109444	88022
22	13109544	13163677	54133
22	13163777	13227312	63535
22	13227412	13248082	20670
22	13248182	13254852	6670
22	13254952	13258197	3245
22	13258297	13280858	22561
22	13280958	13285143	4185
22	13285243	14419454	1134211
22	14420434	14421632	1198
22	14421732	15054318	632586
22	15154318	16279672	1125354
22	16302843	16304296	1453
22	16305427	16307048	1621
22	16307605	16310302	2697
22	16310402	16313516	3114
22	16314010	18239129	1925119
22	18339129	18433513	94384
22	18483513	18659564	176051
22	18709564	49973865	31264301
22	49975365	50808468	833103
2x35S-LbCpf1-pQD	0	7696	7696
2x35S-eYGFPuv-T878-p73	0	11811	11811
3	10000	90550102	90540102
3	90550202	90565295	15093
3	90568828	90699772	130944
3	90699792	90722458	22666
3	90772458	91233586	461128
3	91233686	91247622	13936
3	91247722	91249905	2183
3	91256421	91257890	1469
3	91260180	91265381	5201
3	91276994	91282175	5181
3	91282734	91291069	8335
3	91291218	91345078	53860
3	91345173	91364131	18958
3	91364151	91438798	74647
3	91438818	91553319	114501
3	91553419	93655574	2102155
3	93705574	198235559	104529985
380B-eYGFPuv-d11-d15	0	27302	27302
380K-eYGFPuv	0	19753	19753
380K-eYGFPuv-d123456	0	44613	44613
4	10000	1429358	1419358
4	1434206	1435794	1588
4	1441552	8797477	7355925
4	8816477	9272916	456439
4	9322916	31819295	22496379
4	31832569	31835775	3206
4	31835795	32833016	997221
4	32839016	49336924	16497908
4	49486924	49658100	171176
4	49708100	49711961	3861
4	49712061	51743951	2031890
4	51793951	58878793	7084842
4	58921381	190123121	131201740
4	190173121	190204555	31434
5	10000	17530548	17520548
5	17580548	46435900	28855352
5	46485900	46569062	83162
5	46569162	46796725	227563
5	46796825	47061288	264463
5	47061388	47069162	7774
5	47073730	47078603	4873
5	47078720	47079733	1013
5	47082080	47106894	24814
5	47106994	47153339	46345
5	47153439	47296069	142630
5	47296169	47300585	4416
5	47306086	47309084	2998
5	47309184	49591369	2282185
5	49591469	49592920	1451
5	49599323	49600986	1663
5	49601086	49603131	2045
5	49609714	49611721	2007
5	49612096	49618994	6898
5	49621605	49628165	6560
5	49630729	49633793	3064
5	49641815	49646823	5008
5	49646923	49650573	3650
5	49656261	49661871	5610
5	49666173	49667431	1258
5	49667531	49721203	53672
5	49721303	50059807	338504
5	50109807	139452659	89342852
5	139453659	155760324	16306665
5	155761324	181478259	25716935
5P2T-pKGW7	0	12282	12282
6	60000	58453888	58393888
6	58553888	59829934	1276046
6	60229934	61357029	1127095
6	61363066	61370554	7488
6	61371372	61378482	7110
6	61378582	61381502	2920
6	61381602	61393846	12244
6	61393946	61398161	4215
6	61398261	95020790	33622529
6	95070790	167591393	72520603
6	167641393	170745979	3104586
7	10000	237846	227846
7	240242	58119653	57879411
7	58169653	60828234	2658581
7	60878234	61063378	185144
7	61063426	61327788	264362
7	61377788	61528020	150232
7	61578020	61964169	386149
7	61967063	61976104	9041
7	62026104	62456779	430675
7	62506779	143650804	81144025
7	143700804	159335973	15635169
8	60000	7617127	7557127
8	7667127	12234345	4567218
8	12284345	43983744	31699399
8	44033744	45877265	1843521
8	45927265	85664222	39736957
8	85714222	145078636	59364414
9	10000	40529470	40519470
9	40529480	40537052	7572
9	40537134	40547487	10353
9	40547497	40561938	14441
9	40561948	41225986	664038
9	41229378	41237752	8374
9	41238504	43222167	1983663
9	43236167	43240559	4392
9	43240579	43254332	13753
9	43254352	43263290	8938
9	43263820	43268730	4910
9	43268750	43270944	2194
9	43274935	43276248	1313
9	43276457	43281323	4866
9	43282956	43332174	49218
9	43333269	43370405	37136
9	43371325	43377453	6128
9	43382279	43389535	7256
9	43389635	45518558	2128923
9	60518558	60688432	169874
9	60738432	60779521	41089
9	60829521	61003887	174366
9	61053887	61231966	178079
9	61281966	61468808	186842
9	61518808	61735368	216560
9	61785368	62149738	364370
9	62249738	62748832	499094
9	62798832	62958371	159539
9	63008371	63202862	194491
9	63252862	63492264	239402
9	63542264	63918447	376183
9	63968447	64135013	166566
9	64185013	64215162	30149
9	64315162	64998124	682962
9	65048124	65080082	31958
9	65130082	65325123	195041
9	65375123	65595191	220068
9	65645191	66391387	746196
9	66591387	67920552	1329165
9	68220552	134183092	65962540
9	134185536	138334717	4149181
A10-pg-p221	0	5275	5275
Cas9-U6-sgRNA-pQD	0	7833	7833
GL000008.2	0	209709	209709
GL000009.2	0	201709	201709
GL000194.1	0	191469	191469
GL000195.1	0	182896	182896
GL000205.2	0	185591	185591
GL000208.1	0	92689	92689
GL000213.1	0	164239	164239
GL000214.1	0	137718	137718
GL000216.2	0	176608	176608
GL000218.1	0	161147	161147
GL000219.1	0	179198	179198
GL000220.1	0	161802	161802
GL000221.1	0	155397	155397
GL000224.1	0	179693	179693
GL000225.1	0	211173	211173
GL000226.1	0	15008	15008
HD-T878-UBQ10	0	5205	5205
HG-F2A-pQD	0	3899	3899
KI270302.1	0	2274	2274
KI270303.1	0	1942	1942
KI270304.1	0	2165	2165
KI270305.1	0	1472	1472
KI270310.1	0	1201	1201
KI270311.1	0	12399	12399
KI270315.1	0	2276	2276
KI270316.1	0	1444	1444
KI270317.1	0	37690	37690
KI270320.1	0	4416	4416
KI270322.1	0	21476	21476
KI270329.1	0	1040	1040
KI270330.1	0	1652	1652
KI270333.1	0	2699	2699
KI270334.1	0	1368	1368
KI270335.1	0	1048	1048
KI270336.1	0	1026	1026
KI270337.1	0	1121	1121
KI270338.1	0	1428	1428
KI270340.1	0	1428	1428
KI270362.1	0	3530	3530
KI270363.1	0	1803	1803
KI270364.1	0	2855	2855
KI270366.1	0	8320	8320
KI270371.1	0	2805	2805
KI270372.1	0	1650	1650
KI270373.1	0	1451	1451
KI270374.1	0	2656	2656
KI270375.1	0	2378	2378
KI270376.1	0	1136	1136
KI270378.1	0	1048	1048
KI270379.1	0	1045	1045
KI270381.1	0	1930	1930
KI270382.1	0	4215	4215
KI270383.1	0	1750	1750
KI270384.1	0	1658	1658
KI270386.1	0	1788	1788
KI270387.1	0	1537	1537
KI270388.1	0	1216	1216
KI270389.1	0	1298	1298
KI270390.1	0	2387	2387
KI270391.1	0	1484	1484
KI270393.1	0	1308	1308
KI270395.1	0	1143	1143
KI270396.1	0	1880	1880
KI270411.1	0	2646	2646
KI270412.1	0	1179	1179
KI270414.1	0	2489	2489
KI270417.1	0	2043	2043
KI270418.1	0	2145	2145
KI270419.1	0	1029	1029
KI270420.1	0	2321	2321
KI270422.1	0	1445	1445
KI270424.1	0	2140	2140
KI270425.1	0	1884	1884
KI270429.1	0	1361	1361
KI270435.1	0	92983	92983
KI270438.1	0	112505	112505
KI270442.1	0	392061	392061
KI270448.1	0	7992	7992
KI270465.1	0	1774	1774
KI270466.1	0	1233	1233
KI270467.1	0	3920	3920
KI270468.1	0	4055	4055
KI270507.1	0	5353	5353
KI270508.1	0	1951	1951
KI270509.1	0	2318	2318
KI270510.1	0	2415	2415
KI270511.1	0	8127	8127
KI270512.1	0	22689	22689
KI270515.1	0	6361	6361
KI270516.1	0	1300	1300
KI270517.1	0	3253	3253
KI270518.1	0	2186	2186
KI270519.1	0	138126	138126
KI270521.1	0	7642	7642
KI270522.1	0	5674	5674
KI270528.1	0	2983	2983
KI270529.1	0	1899	1899
KI270530.1	0	2168	2168
KI270538.1	0	91309	91309
KI270544.1	0	1202	1202
KI270548.1	0	1599	1599
KI270579.1	0	31033	31033
KI270580.1	0	1553	1553
KI270581.1	0	7046	7046
KI270582.1	0	6504	6504
KI270583.1	0	1400	1400
KI270584.1	0	4513	4513
KI270587.1	0	2969	2969
KI270588.1	0	6158	6158
KI270589.1	0	44474	44474
KI270590.1	0	4685	4685
KI270591.1	0	5796	5796
KI270593.1	0	3041	3041
KI270706.1	0	175055	175055
KI270707.1	0	32032	32032
KI270708.1	0	127682	127682
KI270709.1	0	66860	66860
KI270710.1	0	40176	40176
KI270711.1	0	42210	42210
KI270712.1	0	176043	176043
KI270713.1	0	40745	40745
KI270714.1	0	41717	41717
KI270715.1	0	161471	161471
KI270716.1	0	153799	153799
KI270717.1	0	40062	40062
KI270718.1	0	38054	38054
KI270719.1	0	176845	176845
KI270720.1	0	39050	39050
KI270721.1	0	100316	100316
KI270722.1	0	194050	194050
KI270723.1	0	38115	38115
KI270724.1	0	39555	39555
KI270725.1	0	172810	172810
KI270726.1	0	43739	43739
KI270727.1	0	448248	448248
KI270728.1	0	1872759	1872759
KI270729.1	0	280839	280839
KI270730.1	0	112551	112551
KI270731.1	0	150754	150754
KI270732.1	0	41543	41543
KI270733.1	0	179772	179772
KI270734.1	0	165050	165050
KI270735.1	0	42811	42811
KI270736.1	0	181920	181920
KI270737.1	0	103838	103838
KI270738.1	0	99375	99375
KI270739.1	0	73985	73985
KI270740.1	0	37240	37240
KI270741.1	0	157432	157432
KI270742.1	0	186739	186739
KI270743.1	0	210658	210658
KI270744.1	0	168472	168472
KI270745.1	0	41891	41891
KI270746.1	0	66486	66486
KI270747.1	0	198735	198735
KI270748.1	0	93321	93321
KI270749.1	0	158759	158759
KI270750.1	0	148850	148850
KI270751.1	0	150742	150742
KI270752.1	0	27745	27745
KI270753.1	0	62944	62944
KI270754.1	0	40191	40191
KI270755.1	0	36723	36723
KI270756.1	0	79590	79590
KI270757.1	0	71251	71251
Lat52-RG-HTR10-1-GFP-pBGW7	0	14437	14437
Lat52-grim-TE-MC9-prk6-pKGW7	0	13209	13209
MT	0	16569	16569
SunTag-CRISPRi	0	16510	16510
V7-MC-HG-FA	0	14122	14122
X	10000	44821	34821
X	94821	133871	39050
X	222346	226276	3930
X	226351	1949345	1722994
X	2132994	2137388	4394
X	2137488	37099262	34961774
X	37285837	49348394	12062557
X	49528394	50228964	700570
X	50278964	58555579	8276615
X	58605579	62412542	3806963
X	62462542	114281198	51818656
X	114331198	115738949	1407751
X	115838949	116557779	718830
X	116595566	120879381	4283815
X	120929381	144425606	23496225
X	144475606	156030895	11555289
Y	10000	44821	34821
Y	94821	133871	39050
Y	222346	226276	3930
Y	226351	1949345	1722994
Y	2132994	2137388	4394
Y	2137488	9046914	6909426
Y	9055174	9057608	2434
Y	9107608	9111868	4260
Y	9112715	9114319	1604
Y	9116371	9403713	287342
Y	9453713	10266944	813231
Y	10316944	10544039	227095
Y	10594039	10633440	39401
Y	10645833	10649989	4156
Y	10651421	10669737	18316
Y	10670732	10674058	3326
Y	10676544	10679715	3171
Y	10682442	10691573	9131
Y	10691902	10694192	2290
Y	10744192	10747280	3088
Y	10747305	10809671	62366
Y	10810479	10816758	6279
Y	10817292	10852900	35608
Y	10855135	10871218	16083
Y	10871897	10890419	18522
Y	10891942	10896525	4583
Y	10898184	10908519	10335
Y	10909101	10922486	13385
Y	10923564	10956868	33304
Y	10957767	10961625	3858
Y	10962533	10965694	3161
Y	10967284	10969992	2708
Y	10970620	10986652	16032
Y	10986677	11002276	15599
Y	11003059	11012528	9469
Y	11013046	11016992	3946
Y	11017247	11023374	6127
Y	11024266	11028342	4076
Y	11029160	11036252	7092
Y	11037032	11592902	555870
Y	11642902	11647442	4540
Y	11647709	11653064	5355
Y	11653102	11660374	7272
Y	11662181	11663986	1805
Y	11664006	11669948	5942
Y	11670088	11671800	1712
Y	11671820	11673795	1975
Y	11674123	20207793	8533670
Y	20257793	21739542	1481749
Y	21741441	21747863	6422
Y	21748371	21750013	1642
Y	21750314	21789281	38967
Y	21805281	26673214	4867933
Y	56673214	56771509	98295
Y	56821509	57217415	395906
d2A-E9t-v4	0	4288	4288
myb98-genomic-nsc-TOPO	0	5741	5741
pB2CGW	0	15854	15854
pHDzCGW	0	17285	17285
pQD-in	0	3206	3206
pro18-Mal480-d1S-E9t	0	7603	7603
